dataset,kCrossIndex,fadr,fmc,accuracy,correlation,fitness,accFitnessDifference
digits,0,0.25,0.1,0.8305555555555556,0.06754516881770047,0.9828442863723128,0.1551566012274887
digits,1,0.25,0.1,0.7722222222222223,0.15634844965111613,0.975485855075543,0.18436495445553533
digits,2,0.25,0.1,0.841225626740947,0.1013854929071838,0.9810680761235615,0.1402844751445397
digits,3,0.25,0.1,0.8467966573816156,0.09011463416942536,0.9732049263452964,0.12083432659806653
digits,4,0.25,0.1,0.807799442896936,0.09592208407716891,0.982597169126733,0.16839110607193175
digits,0,0.25,0.2,0.8111111111111111,0.002298930896534244,0.9745126630260514,0.150442028392581
digits,1,0.25,0.2,0.7888888888888889,0.3505828876118834,0.9850690645582212,0.20567260573352658
digits,2,0.25,0.2,0.8523676880222841,0.23125576540610282,0.9799994962168268,0.1274003489164901
digits,3,0.25,0.2,0.8774373259052924,0.06829093232307522,0.9770696809974162,0.10057360354928735
digits,4,0.25,0.2,0.7938718662952646,-0.11322430824365932,0.9764285238134389,0.16727951312295575
digits,0,0.25,0.3,0.8444444444444444,-0.010662960169413349,0.979645516277805,0.1512556218244025
digits,1,0.25,0.3,0.7861111111111111,0.36970356991667674,0.9833333321498139,0.16814071551569748
digits,2,0.25,0.3,0.8245125348189415,0.06626248718372231,0.9802425877724248,0.13417562681917156
digits,3,0.25,0.3,0.8050139275766016,-0.16980055989232806,0.9708806262718737,0.1282559467278177
digits,4,0.25,0.3,0.8217270194986073,-0.009447933305851213,0.9773896163426823,0.17154746191016962
digits,0,0.5,0.1,0.85,0.261871723325069,0.9617824493890743,0.12324361453033757
digits,1,0.5,0.1,0.7361111111111112,0.017753328770368504,0.9652322267696467,0.17606889930809455
digits,2,0.5,0.1,0.8495821727019499,0.08143549130924461,0.9516089935840535,0.10541271464851863
digits,3,0.5,0.1,0.8857938718662952,0.20440218762570755,0.968847581724322,0.08415892900197312
digits,4,0.5,0.1,0.8217270194986073,0.41502059144665376,0.9694254549878916,0.15133527997081217
digits,0,0.5,0.2,0.8555555555555555,0.4835571725471363,0.9556977230828957,0.11465341508821562
digits,1,0.5,0.2,0.7722222222222223,0.19110988763551306,0.9653466416448792,0.18497791358709081
digits,2,0.5,0.2,0.8189415041782729,0.2865680027098039,0.9684121989451075,0.11351006384115041
digits,3,0.5,0.2,0.871866295264624,0.2116132797753489,0.9594880157409612,0.07935501948209531
digits,4,0.5,0.2,0.8022284122562674,0.42251608701089727,0.9701508270620056,0.15497837135206385
digits,0,0.5,0.3,0.8083333333333333,0.2507944157723854,0.972093534326947,0.12635857118811564
digits,1,0.5,0.3,0.7416666666666667,-0.01970281826449993,0.9584942791526632,0.1675362030537775
digits,2,0.5,0.3,0.8384401114206128,0.42078246115929985,0.9748323223296355,0.12195674609371526
digits,3,0.5,0.3,0.8774373259052924,0.39074131361258785,0.9595544464498256,0.08859673088831956
digits,4,0.5,0.3,0.8050139275766016,0.29619433808417006,0.9671241358984878,0.1515113301647621
digits,0,0.75,0.1,0.7861111111111111,0.18176318833051952,0.9486370033765215,0.10065888616743983
digits,1,0.75,0.1,0.8083333333333333,0.6713609923318071,0.9579983083478032,0.13439686983801474
digits,2,0.75,0.1,0.8467966573816156,0.4562741939782394,0.9657421955493403,0.08514260675030993
digits,3,0.75,0.1,0.7994428969359332,-0.1683196294198632,0.9274029745009387,0.07610328129299555
digits,4,0.75,0.1,0.7883008356545961,0.4286098953634508,0.9476254085833002,0.11168235185199152
digits,0,0.75,0.2,0.7861111111111111,0.43376496710207557,0.9398765749494012,0.11030099859353358
digits,1,0.75,0.2,0.8,0.5605855614232679,0.9525845896205746,0.1463390553946102
digits,2,0.75,0.2,0.8356545961002786,0.4795907545049864,0.9481235735634753,0.07608027866809332
digits,3,0.75,0.2,0.8607242339832869,0.3138902494519662,0.936628581180327,0.05883473434165728
digits,4,0.75,0.2,0.8161559888579387,0.5531814490502952,0.9528834847335086,0.10800681746825157
digits,0,0.75,0.3,0.825,0.3612839830767642,0.9432135271719604,0.10113213577224457
digits,1,0.75,0.3,0.7722222222222223,0.4397300096598685,0.9555426714382491,0.160630788278056
digits,2,0.75,0.3,0.8467966573816156,0.3829248894410774,0.9352409751564768,0.07407693916747378
digits,3,0.75,0.3,0.871866295264624,0.5918112899014436,0.949924658032442,0.0582412204763341
digits,4,0.75,0.3,0.8440111420612814,0.4474666933023467,0.9609174237818576,0.12222467947271017
pima,0,0.25,0.1,0.7142857142857143,0.20606580116674447,0.9437122212301507,0.19606619857858543
pima,1,0.25,0.1,0.7207792207792207,0.07935680768159199,0.9483471610730324,0.26249500283715643
pima,2,0.25,0.1,0.6948051948051948,0.08062573864023334,0.9492565099287262,0.23781672569731177
pima,3,0.25,0.1,0.7581699346405228,-0.009648977581657708,0.9507784181814642,0.15684814784120654
pima,4,0.25,0.1,0.673202614379085,0.10462412348113359,0.9309518810630446,0.18999505337319034
pima,0,0.25,0.2,0.7272727272727273,0.11276493020986482,0.9446467559001328,0.19976195879626973
pima,1,0.25,0.2,0.6753246753246753,0.2678624211567747,0.9538312503619397,0.26295300370271035
pima,2,0.25,0.2,0.7012987012987013,0.046807274164285796,0.9504599542212017,0.2378169153492755
pima,3,0.25,0.2,0.8235294117647058,0.1285926820596039,0.943095797858399,0.1406733634782889
pima,4,0.25,0.2,0.6797385620915033,-0.06173095731383682,0.9506987626590546,0.2171705513192345
pima,0,0.25,0.3,0.7077922077922078,-0.042019398927478115,0.9428514936065535,0.21721722069692442
pima,1,0.25,0.3,0.6493506493506493,0.050778106630282066,0.9565567886029064,0.2712915975336922
pima,2,0.25,0.3,0.6883116883116883,0.010794593369880052,0.9564545614704357,0.24058216468684568
pima,3,0.25,0.3,0.803921568627451,0.012840405781259431,0.9534378276763422,0.15014449654685622
pima,4,0.25,0.3,0.7124183006535948,0.09036841724469967,0.9520417515959175,0.21565237331527634
pima,0,0.5,0.1,0.7272727272727273,0.17333766591671723,0.885742007488131,0.12814343946134554
pima,1,0.5,0.1,0.6623376623376623,0.24111848526302626,0.9022746501259225,0.19704828863998097
pima,2,0.5,0.1,0.7272727272727273,0.2599535036106471,0.9261786940006261,0.17215526322550206
pima,3,0.5,0.1,0.7450980392156863,-0.07932258683604394,0.9152198552775106,0.11512379713848993
pima,4,0.5,0.1,0.6862745098039216,0.17509905544443793,0.8709633473242322,0.14810903674650974
pima,0,0.5,0.2,0.7792207792207793,0.10299558187654352,0.9186735208299797,0.15158608674899918
pima,1,0.5,0.2,0.6623376623376623,0.1724530168862193,0.9081152717587817,0.20670994706422546
pima,2,0.5,0.2,0.7142857142857143,0.37483022777252517,0.9041890234692138,0.1526147096368263
pima,3,0.5,0.2,0.738562091503268,0.0024218634831879846,0.8999597075582575,0.10228931714029438
pima,4,0.5,0.2,0.6862745098039216,0.1909879526566648,0.9212776641619448,0.16164112789167817
pima,0,0.5,0.3,0.7142857142857143,0.13286245126638527,0.8818892863461552,0.13812784217437107
pima,1,0.5,0.3,0.6168831168831169,0.18307625456945223,0.9179847507144496,0.2205430861344638
pima,2,0.5,0.3,0.6883116883116883,0.17937590332271558,0.9108573222714862,0.1715162075781985
pima,3,0.5,0.3,0.7581699346405228,0.08708155161623615,0.9048239494390491,0.09976748619980248
pima,4,0.5,0.3,0.7516339869281046,0.13507705075314388,0.904034707750687,0.15579508482141202
pima,0,0.75,0.1,0.7012987012987013,0.3212987983359164,0.8757897343441982,0.09204859585284589
pima,1,0.75,0.1,0.6363636363636364,0.2722716416502671,0.8831168765100325,0.15971344402926824
pima,2,0.75,0.1,0.6558441558441559,-0.037899393010588804,0.8503891926128865,0.12118931906626847
pima,3,0.75,0.1,0.7712418300653595,0.19107890539185596,0.8470094004788943,0.05157519058533268
pima,4,0.75,0.1,0.6601307189542484,0.1264216845083959,0.8615940747087089,0.12651343194871856
pima,0,0.75,0.2,0.7142857142857143,0.056235317157872895,0.8239425194420831,0.08523710571717993
pima,1,0.75,0.2,0.6428571428571429,0.13239675762987313,0.8323338244265471,0.1336334208885114
pima,2,0.75,0.2,0.6558441558441559,0.04179544169366595,0.8177593104306293,0.10663795147326663
pima,3,0.75,0.2,0.7581699346405228,0.04938389109973108,0.8104951577312111,0.05822895151825506
pima,4,0.75,0.2,0.6862745098039216,-0.1645942806738158,0.8607028850301224,0.11823497731789857
pima,0,0.75,0.3,0.7207792207792207,0.18701533201949608,0.8570151775767467,0.1028465352250936
pima,1,0.75,0.3,0.6753246753246753,0.41984520732584546,0.8427060779512019,0.11787821320047845
pima,2,0.75,0.3,0.7142857142857143,0.27263602949486415,0.8471464518439928,0.09376214235072776
pima,3,0.75,0.3,0.7581699346405228,0.0666350245328505,0.8312376322311317,0.051628838082340214
pima,4,0.75,0.3,0.7254901960784313,0.11680441244481421,0.8843863703372137,0.12248368250445457
wine,0,0.25,0.1,0.75,-0.008431511054144478,1.0,0.17611843197696447
wine,1,0.25,0.1,0.8888888888888888,0.13289384925670147,1.0,0.13745701516019343
wine,2,0.25,0.1,0.8611111111111112,-0.03261167062600288,1.0,0.13979644390675927
wine,3,0.25,0.1,0.9142857142857143,-0.05705600903598342,1.0,0.12025627756511108
wine,4,0.25,0.1,0.7714285714285715,-0.0011284421674097728,1.0,0.2636951922301343
wine,0,0.25,0.2,0.75,-0.05844838423165545,1.0,0.1277933990063581
wine,1,0.25,0.2,0.9722222222222222,0.0838078086694266,1.0,0.11601187088717703
wine,2,0.25,0.2,0.8888888888888888,-0.017091608306934923,1.0,0.14416703732046174
wine,3,0.25,0.2,0.9428571428571428,-0.1023027609362631,1.0,0.0828658135767728
wine,4,0.25,0.2,0.42857142857142855,0.08966138838984018,1.0,0.33931964226959205
wine,0,0.25,0.3,0.9166666666666666,-0.060462153350466744,1.0,0.1571108771794315
wine,1,0.25,0.3,0.9444444444444444,-0.1686152984025863,1.0,0.11899636648647245
wine,2,0.25,0.3,0.8611111111111112,-0.10468004031416188,1.0,0.1280511939766253
wine,3,0.25,0.3,1.0,0.0020607397062278212,1.0,0.09384836728953737
wine,4,0.25,0.3,0.9428571428571428,-0.022727490004258624,1.0,0.3402243864944423
wine,0,0.5,0.1,0.9166666666666666,-0.0510705820351175,1.0,0.14649677289278162
wine,1,0.5,0.1,0.8333333333333334,0.031149551371768825,1.0,0.11135310956254474
wine,2,0.5,0.1,0.9444444444444444,-0.06118433235668874,1.0,0.11507550459473165
wine,3,0.5,0.1,0.8571428571428571,-0.022981569659499233,1.0,0.09359450126219804
wine,4,0.5,0.1,0.7142857142857143,-0.004959936158906881,1.0,0.3662047824306362
wine,0,0.5,0.2,0.8888888888888888,-0.05050343807825674,1.0,0.10395673867967498
wine,1,0.5,0.2,0.8888888888888888,0.00816509338927041,1.0,0.11787640131913212
wine,2,0.5,0.2,0.8055555555555556,-0.05735459456677261,1.0,0.16517500724993134
wine,3,0.5,0.2,0.8571428571428571,-0.043560843973315264,1.0,0.08177971024811408
wine,4,0.5,0.2,0.6857142857142857,-0.004539795553095553,1.0,0.3133492574139494
wine,0,0.5,0.3,0.9166666666666666,0.026699844013217924,1.0,0.09828568499548843
wine,1,0.5,0.3,0.9722222222222222,0.02180332362993109,1.0,0.10182004997495238
wine,2,0.5,0.3,0.8888888888888888,-0.0443501599857376,1.0,0.10259058233385515
wine,3,0.5,0.3,0.9142857142857143,-0.11382647437827068,1.0,0.09412926913408108
wine,4,0.5,0.3,0.7714285714285715,-0.007435680856045202,1.0,0.26301833431005417
wine,0,0.75,0.1,0.75,0.09868973225521024,1.0,0.06991583212307292
wine,1,0.75,0.1,0.9166666666666666,0.0028144705592869513,1.0,0.12259753326254648
wine,2,0.75,0.1,0.9722222222222222,0.19288853245399706,1.0,0.08092626150225758
wine,3,0.75,0.1,0.9428571428571428,0.04800482202733072,1.0,0.11618450623428266
wine,4,0.75,0.1,0.8,0.11579047328219684,1.0,0.30578460902119614
wine,0,0.75,0.2,0.8888888888888888,0.21422834246037334,1.0,0.09138048271584134
wine,1,0.75,0.2,0.8055555555555556,0.09788053508070191,1.0,0.07930010391171244
wine,2,0.75,0.2,0.9166666666666666,0.045673629325075626,1.0,0.09352756770671151
wine,3,0.75,0.2,0.8571428571428571,0.042111382205221475,1.0,0.08394080727667419
wine,4,0.75,0.2,0.4857142857142857,-0.05465572537323105,1.0,0.39517313789478253
wine,0,0.75,0.3,0.9722222222222222,0.014927281960589171,1.0,0.11904167178064723
wine,1,0.75,0.3,0.9722222222222222,-0.0008521360660339285,1.0,0.10350032806633898
wine,2,0.75,0.3,0.8611111111111112,0.03925649955723114,1.0,0.11344210067557374
wine,3,0.75,0.3,0.9428571428571428,0.037061930526473566,1.0,0.0819445621890497
wine,4,0.75,0.3,0.9142857142857143,0.2662248197612593,0.9998611496842145,0.3593372573389304
breast_cancer,0,0.25,0.1,0.9122807017543859,-0.02161530376922161,0.9974537051325723,0.09357618252871967
breast_cancer,1,0.25,0.1,0.9210526315789473,0.15886379799680736,0.9922874450914043,0.09015609084642465
breast_cancer,2,0.25,0.1,0.9473684210526315,0.013158193423565957,1.0,0.07001043338261884
breast_cancer,3,0.25,0.1,0.956140350877193,-0.013617079058049127,0.9974968243537459,0.06563866924853162
breast_cancer,4,0.25,0.1,0.9734513274336283,-0.06983417426838505,0.9966019960335939,0.07100961975935348
breast_cancer,0,0.25,0.2,0.9122807017543859,0.06916091406735124,0.9967329605278803,0.11192426034227393
breast_cancer,1,0.25,0.2,0.9298245614035088,0.01804519783994735,0.9943367918912605,0.08166144911373756
breast_cancer,2,0.25,0.2,0.9649122807017544,0.01676167737506504,0.9959898067025719,0.06592928754067334
breast_cancer,3,0.25,0.2,0.9473684210526315,0.04747686441029806,0.9972967857451196,0.08229334189405976
breast_cancer,4,0.25,0.2,0.9292035398230089,0.05434474325884792,1.0,0.08716826618340046
breast_cancer,0,0.25,0.3,0.9298245614035088,0.004786356086515619,0.9918858808172826,0.10316849940855213
breast_cancer,1,0.25,0.3,0.9298245614035088,0.049721202778796464,0.994375,0.09838530419432394
breast_cancer,2,0.25,0.3,0.9912280701754386,-0.006234617951333202,0.9922428162145931,0.06984543119784722
breast_cancer,3,0.25,0.3,0.956140350877193,0.13581833850995903,0.9875480526629911,0.10204496422148011
breast_cancer,4,0.25,0.3,0.9557522123893806,0.04585925503131029,0.9959198701970529,0.08774756376660628
breast_cancer,0,0.5,0.1,0.8771929824561403,0.050027569354242074,0.9821462221117256,0.08502057360708555
breast_cancer,1,0.5,0.1,0.9473684210526315,-0.02434790479386222,0.9887443310978963,0.07985720286814199
breast_cancer,2,0.5,0.1,0.9912280701754386,0.022820210020135234,0.9856666347733172,0.06832039090693742
breast_cancer,3,0.5,0.1,0.9649122807017544,0.050227038075809666,0.9999773247772199,0.05518904310899101
breast_cancer,4,0.5,0.1,0.9469026548672567,0.012576655139789648,0.9945064166245056,0.06062641305039928
breast_cancer,0,0.5,0.2,0.9035087719298246,0.05695820473607451,0.9899936837273624,0.08936315747953405
breast_cancer,1,0.5,0.2,0.9210526315789473,-0.02280418784282097,0.9849872450606505,0.10709865204218666
breast_cancer,2,0.5,0.2,0.9736842105263158,-0.01594498033587682,0.999722299368429,0.05717866333936037
breast_cancer,3,0.5,0.2,0.9649122807017544,0.023222205588275195,0.983440596455935,0.07801279775469454
breast_cancer,4,0.5,0.2,0.9203539823008849,-0.03255282240471435,0.9897686595369952,0.06847572390387147
breast_cancer,0,0.5,0.3,0.8947368421052632,0.04451775578306445,0.9949872450606505,0.09333402412623452
breast_cancer,1,0.5,0.3,0.9473684210526315,0.053873173731024925,0.9935105448854099,0.07840813566987304
breast_cancer,2,0.5,0.3,0.9649122807017544,0.058325737784120084,0.9987261153396403,0.05671999270541422
breast_cancer,3,0.5,0.3,0.9649122807017544,0.044816223397002114,0.9836265584502012,0.08194203117570628
breast_cancer,4,0.5,0.3,0.9557522123893806,0.025773263975937214,0.9999305603778632,0.058249934449209964
breast_cancer,0,0.75,0.1,0.9035087719298246,0.04396612747059552,0.9911041743740404,0.07739542291597397
breast_cancer,1,0.75,0.1,0.9385964912280702,-0.002629823009556732,0.9924772465633414,0.04942281182678462
breast_cancer,2,0.75,0.1,0.9736842105263158,0.0705675456055091,0.9906199609981258,0.04474892301214874
breast_cancer,3,0.75,0.1,0.956140350877193,0.028147015478323684,0.9849996850594074,0.040868844296872694
breast_cancer,4,0.75,0.1,0.9734513274336283,0.01027296239110064,0.9812860515831463,0.06237695421359744
breast_cancer,0,0.75,0.2,0.8947368421052632,0.02682745902695029,0.9849035679857668,0.06694734545870515
breast_cancer,1,0.75,0.2,0.9122807017543859,0.0267088509165671,0.9918344727144061,0.0601187243050683
breast_cancer,2,0.75,0.2,0.9649122807017544,0.1053713819979929,0.984094579071699,0.059092633275680775
breast_cancer,3,0.75,0.2,0.9649122807017544,0.046523884812484165,0.9924886623886099,0.042819563209755704
breast_cancer,4,0.75,0.2,0.9292035398230089,-0.12813335588843447,0.992474491097415,0.06006910409662954
breast_cancer,0,0.75,0.3,0.8947368421052632,0.01634051818486145,1.0,0.07260227090485029
breast_cancer,1,0.75,0.3,0.9298245614035088,0.11727548032705076,0.9766660921917527,0.03940949225470664
breast_cancer,2,0.75,0.3,0.9736842105263158,0.016386234130297744,0.9924705722648589,0.03884479146506821
breast_cancer,3,0.75,0.3,0.956140350877193,0.03011474293400007,0.9924961420050771,0.04491995635151528
breast_cancer,4,0.75,0.3,0.9380530973451328,-0.014243931318698944,0.98481865990459,0.055403389177123535
