dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
breast_cancer,1,1,0.25,0.25,0.01,0.27958330531157943,0.04393252344211942,0.04947881889637831,0.951048951048951,0.94811115935736,0.9438709677419355,0.9459298871063577
breast_cancer,1,2,0.25,0.25,0.01,0.27616683314025126,-0.29954447394579053,9.671458097105833e-43,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.25,0.25,0.01,0.2773866675733261,-0.04453103456113459,0.04645548168108155,0.9440559440559441,0.9354395604395604,0.9431182795698925,0.9390451832907076
breast_cancer,2,1,0.25,0.25,0.01,0.2809286745486256,0.3836396616229759,3.9196282859569374e-71,0.9436619718309859,0.9438131313131313,0.9379152823920266,0.9406478578892372
breast_cancer,2,2,0.25,0.25,0.01,0.2802401800565815,-0.027185854367272836,0.22426965797517487,0.9436619718309859,0.9474358974358974,0.9348006644518272,0.9402356902356903
breast_cancer,2,3,0.25,0.25,0.01,0.2678312666355812,0.016264665008408757,0.4672435534575946,0.9507042253521126,0.9530421878312487,0.9437292358803986,0.9478899082568808
breast_cancer,3,1,0.25,0.25,0.01,0.2729084060608148,0.06687133406493267,0.0027710470915441364,0.9436619718309859,0.9388062917474682,0.9388062917474682,0.9388062917474682
breast_cancer,3,2,0.25,0.25,0.01,0.2703929368565051,0.020320237135494506,0.363733330756593,0.9647887323943662,0.960042735042735,0.9639086403792286,0.9619160006436732
breast_cancer,3,3,0.25,0.25,0.01,0.2763397312601719,-0.015812413786904574,0.479718912997944,0.9577464788732394,0.9541047188106011,0.9541047188106011,0.9541047188106011
breast_cancer,4,1,0.25,0.25,0.01,0.27859192911610686,0.3206164986768098,4.814486079291753e-49,0.9507042253521126,0.9573913043478262,0.9397074190177639,0.9471135940409683
breast_cancer,4,2,0.25,0.25,0.01,0.27929926560587515,0.35714886044660105,3.12199721433672e-61,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,4,3,0.25,0.25,0.01,0.2806925744594043,0.0500308742443391,0.02525687033184634,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,1,1,0.25,0.25,0.05,0.2755981417603205,0.019315431524374652,0.3879434901397175,0.965034965034965,0.9597186700767264,0.9638709677419355,0.9617340112389617
breast_cancer,1,2,0.25,0.25,0.05,0.2738427185863146,0.3739367720344446,2.12726898061183e-67,0.958041958041958,0.9538709677419355,0.9538709677419355,0.9538709677419355
breast_cancer,1,3,0.25,0.25,0.05,0.2731975894192847,0.5659280020744915,9.990660110258529e-170,0.965034965034965,0.9597186700767264,0.9638709677419355,0.9617340112389617
breast_cancer,2,1,0.25,0.25,0.05,0.2789167686658507,0.139065600024044,4.2194769332306336e-10,0.9577464788732394,0.9557724252491695,0.9557724252491695,0.9557724252491695
breast_cancer,2,2,0.25,0.25,0.05,0.28343023255813954,0.24642867256341008,4.7381122386142285e-29,0.9436619718309859,0.9438131313131313,0.9379152823920266,0.9406478578892372
breast_cancer,2,3,0.25,0.25,0.05,0.2759510589369831,0.02540948554254309,0.2560320333219449,0.9507042253521126,0.9572290454643395,0.9406146179401993,0.9475157083267332
breast_cancer,3,1,0.25,0.25,0.05,0.2716826158671363,-0.09170566737887692,4.003193057333419e-05,0.9577464788732394,0.9541047188106011,0.9541047188106011,0.9541047188106011
breast_cancer,3,2,0.25,0.25,0.05,0.2780522975596415,0.06947209669128358,0.0018791200904745386,0.971830985915493,0.9660801356794573,0.973712561947856,0.9696581196581197
breast_cancer,3,3,0.25,0.25,0.05,0.266677620058893,0.15196889028335436,8.390187737690171e-12,0.971830985915493,0.9694031458737341,0.9694031458737341,0.9694031458737341
breast_cancer,4,1,0.25,0.25,0.05,0.27067775655596954,0.03727216605115549,0.09563399852881417,0.9647887323943662,0.9644360269360269,0.9612330198537096,0.962778505897772
breast_cancer,4,2,0.25,0.25,0.05,0.27876016991864067,0.058487669335503104,0.008890076442280445,0.9647887323943662,0.9615863787375415,0.964576802507837,0.9630266104254543
breast_cancer,4,3,0.25,0.25,0.05,0.2755518155854753,-0.04981029326279031,0.02590892659438773,0.9577464788732394,0.9554858934169279,0.9554858934169279,0.9554858934169279
breast_cancer,1,1,0.25,0.5,0.01,0.30865973072215425,-0.2743642866572142,7.192196336645873e-36,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,2,0.25,0.5,0.01,0.32590531561461794,-0.5236543730251525,3.018608585003016e-141,0.958041958041958,0.9505494505494505,0.958494623655914,0.9542838874680306
breast_cancer,1,3,0.25,0.5,0.01,0.318403031431875,0.29978559130155186,8.246394238716054e-43,0.951048951048951,0.94811115935736,0.9438709677419355,0.9459298871063577
breast_cancer,2,1,0.25,0.5,0.01,0.33071089678774207,-0.14957189640205037,1.7835531254960447e-11,0.9225352112676056,0.9200626959247649,0.917358803986711,0.9186585429359996
breast_cancer,2,2,0.25,0.5,0.01,0.30591337467102464,0.017586695601131803,0.43182646574545325,0.9507042253521126,0.9497387669801463,0.9468438538205981,0.9482372545956361
